"Table","Column","Data Type","Nullable"
"approval_matrix","id","integer","NO"
"approval_matrix","matrix_category","character varying","NO"
"approval_matrix","min_value","numeric","YES"
"approval_matrix","max_value","numeric","YES"
"approval_matrix","reviewer_roles","character varying","YES"
"approval_matrix","quotes_required","character varying","YES"
"approval_matrix","approver_roles","character varying","YES"
"approval_matrix","applicable_controls","character varying","YES"
"approval_matrix","compliance_audit_requirement","text","YES"
"approval_matrix","description","text","YES"
"approvers","id","integer","NO"
"approvers","role","character varying","NO"
"approvers","email","character varying","NO"
"approvers","phone_number","character varying","YES"
"approvers","notes","text","YES"
"approvers","role_type","ARRAY","YES"
"approvers","approval_permission","character varying","YES"
"approvers","approval_matrix","character varying","YES"
"approvers","Name","text","YES"
"approvers","Surname","text","YES"
"approvers","password_hash","character varying","YES"
"automation_logs","id","integer","NO"
"automation_logs","timestamp","timestamp without time zone","YES"
"automation_logs","process_name","character varying","YES"
"automation_logs","message","text","YES"
"cashbook_allocations","id","integer","NO"
"cashbook_allocations","transaction_date","date","NO"
"cashbook_allocations","transaction_text","text","NO"
"cashbook_allocations","amount","numeric","NO"
"cashbook_allocations","transaction_type","character varying","NO"
"cashbook_allocations","allocation_raw","text","YES"
"cashbook_allocations","gl_code","character varying","YES"
"cashbook_allocations","supplier_code","character varying","YES"
"cashbook_allocations","created_at","timestamp without time zone","YES"
"expenditure_ai_cache","id","integer","NO"
"expenditure_ai_cache","month_code","character varying","NO"
"expenditure_ai_cache","analysis_text","text","NO"
"expenditure_ai_cache","created_at","timestamp with time zone","YES"
"master_budget","id","integer","NO"
"master_budget","gl_code","character varying","NO"
"master_budget","description","text","YES"
"master_budget","mar_2026","numeric","YES"
"master_budget","apr_2026","numeric","YES"
"master_budget","may_2026","numeric","YES"
"master_budget","jun_2026","numeric","YES"
"master_budget","jul_2026","numeric","YES"
"master_budget","aug_2026","numeric","YES"
"master_budget","total_budget","numeric","YES"
"master_budget","ytd","numeric","YES"
"master_budget","budget_ytd","numeric","YES"
"master_budget","variance","numeric","YES"
"meeting_action_items","id","integer","NO"
"meeting_action_items","meeting_id","integer","YES"
"meeting_action_items","action_description","text","NO"
"meeting_action_items","responsible_person","character varying","NO"
"meeting_action_items","target_date","date","YES"
"meeting_action_items","status","character varying","YES"
